Bitte eine Frage auswählen!,
Um die Syntax darzustellen,6
"Zu verdeutlichen, wie es aussieht",5
", - Müssen in Anführungszeichen",4
Es müssen mindestens 6 Antworten,3
eingetragen sein,2
Sortiert von Hoch zu Tief,1
,
"Nennen Sie etwas, das man zieht",
Bollerwagen,25
Tau,21
Joint,17
Anhänger,13
Karten,13
Wurzeln,7
,
Nennen Sie eine Lösungsmethode,
googeln,17
Abschreiben,14
Trennung der Variablen,14
Alkohol,13
Try and Error,10
Denken,10
,
Nennen Sie eine Lösung,
Alkohol,25
42,21
NaCl,12
Salzwasser,8
Schlaf,8
Arbeit,6
,
Nennen Sie eine Konstante,
Lichtgeschwindigkeit,30
Erdbeschleunigung,17
pi,14
Zeit,11
Alkoholspiegel,7
K_b,0
,
Nennen Sie ein Adjektiv für Theoretische Physik,
langweilig,26
theoretisch,23
kompliziert,16
interessant,9
krank,0
trocken,0
,
Nennen Sie eine Energie,
Kinetische Energie,22
Sonnenenergie,20
Coffein,13
Potentielle Energie,0
Wärme,0
Windenergie,0
,
Nennen Sie eine Serie,
The Big Bang Theory,33
How I Met Your Mother,32
Game of Thrones,16
Breaking Bad,13
Scrubs,7
Sherlok,7
,
Nennen Sie eine Phase für eine Liebesbeziehung,
Trennung,28
Verliebtsein ,15
Kennenlernphase,14
Sex,10
Rosa-Rote Brille,9
flüssige Phase,6
,
"Nennen Sie etwas, für das Sie eine Minute benötigen",
60 Sekunden zählen,33
Zähneputzen,14
Toilettengang,12
Haare stylen,10
Einschlafen,9
Schminken,9
,
Nennen Sie ein Spiel,
Mensch ärgere dich nicht,25
Monopoly,17
Flunkyball,16
Schere-Stein-Papier-Echse-Spock,11
Looping Loui,9
Fußball,0
,
"Nennen Sie etwas, das man schlägt",
Schlagsahne,29
Kinder,24
Gegner,18
Ball,12
Boxsack,0
Tennisball,0
,
"Nennen Sie ein Wort, das Lehrende aus ihrem Wortschatz streichen sollten",
trivial,25
ähm,12
klausurrelevant,9
straight forward,0
Übungsaufgaben,0
Hausaufgaben,0
,
"Nennen Sie etwas, mit dem man Geld verdient",
Arbeiten,32
Prostitution,29
etwas verkaufen,15
Sklaverei,6
Dealen mit Drogen,5
Schmarotzen,5
,
"Nennen Sie etwas, das Sie nach einer Klausur machen",
trinken,32
feiern,15
schlafen,14
essen,11
ausruhen/chillen,8
zocken,5
,
Nennen Sie ihre favorisierte Art der Prokrastination,
putzen,21
schlafen,20
Zocken,18
fernsehen,16
Alkohol,11
aufräumen,0
,
"Nennen Sie, das man nicht studieren sollte",
Physik,23
BWL,20
Genderstudies,13
Kunstgeschichte,13
Chemie,0
Jura,0
,
Nennen Sie ein Problem,
Mathe,24
Alkohol,16
Klausur,5
Hunger,0
Frauen,0
Eigenwertproblem,0
,
Nennen Sie eine Sprache,
Deutsch,30
Englisch,25
Klingonisch,20
Spanisch,13
Latein,11
Mathematik,8
,
Nennen Sie ein Gedankenexperiment,
Schrödingers Katze,29
Zwillingsparadoxon,13
Traumreise,11
Banach-Tarski-Paradoxon,10
3-Türen probieren,8
Kopfkino,8
,
"Nennen Sie etwas, das man platt macht",
Gegner,32
Teig,21
Insekt,14
Reifen,13
Schnitzel,12
Knete,12
,
Nennen Sie ihren Lieblingsbrotbelag,
käse,35
Nutella,15
Marmelade,11
Salami,10
Schinken,9
Fleischkäse,8
,
Nennen Sie ihr Lieblingsmensaessen,
gyrosteller,26
Mensa burger,23
Salat,20
Kartoffelecken,11
Pommes,10
Schnitzel,8
,
Nennen Sie ein Buch,
Bibel,35
nolting,33
Harry Potter ,31
das Lied von Eis und Feuer ,10
Pippi langstrump,7
ein ganzes halbes Jahr,6
,
Nennen Sie eine Zahl,
42,27
7,23
pi,23
4,11
8,10
3,9
,
Nennen Sie etwas Gelbes,
sonne ,36
Ei,28
Zitrone,20
Banane ,17
Sonnenblume,10
Postauto,10
,
Nennen Sie einen Preis,
Nobelpreis,42
Oscar,11
Pokal,10
"1,99 €",9
5 €,9
1 €,7
,
Nennen Sie eine Kneipe/Disko in Münster,
Dille,34
Cavete,18
Amp,14
Barzillus,8
Blaue Haus,8
Cuba Nova,6
,
Nennen Sie einen Physiker,
Einstein,30
Newton,23
Rohlfing,11
Ich,11
Kohl,10
Schrödinger,6
,
"Nennen Sie etwas, das Sie mit 125 verbinden",
5^3,25
1 geteilt durch 8,8
nichts,8
Jubiläum,7
Hausnummer,6
Mathe,6
,
Nennen Sie ein Adjektiv für Experimental Physik,
interessant,20
spannend ,18
experimentell,10
langweilig,9
kompliziert,7
praktisch,7
,
Nennen Sie einen Komiker,
Otto Wallkes,29
Mario Barth,23
Fallnich,15
Dieter Nuhr,11
Kaya Yanar,8
Harpe Kerkeling,8
,
Nennen Sie einen Kinderfilm,
Pippi Langstrumpf,31
König der Löwen,25
Bambi,9
Das Dschungelbuch,9
ich einfach unverbesserlich,9
saw,6
,
Nennen Sie einen Feiertag,
01. Mai,31
Ostern,27
Weihnachten,26
Pfingsten,17
Karfreitag,14
Klausurende,7
,
Nennen Sie ein Geschenk,
Blumen,32
Gutschein,18
Alkohol,17
Buch,13
Geld,11
Schmuck,7
,
Nennen Sie warum man an der Fachbereichswahl Physik teilnehmen sollte,
Glühwein,15
darum/warum nicht?,13
Mitbestimmung,9
Demokratie,8
Spaß,7
sollte man nicht,7
